epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,2185.85,0.43055,0.64662,0.81381,0.95704,0.96136,0.98773,0.85783,0.46415,0.58442,0.80822,0.000236869,0.000236869,0.000236869
137,2201.01,0.45787,0.62281,0.83045,0.95704,0.96136,0.98773,0.85783,0.46415,0.58442,0.80822,0.000233335,0.000233335,0.000233335
138,2216.21,0.428,0.5903,0.80582,0.96865,0.96081,0.98961,0.85395,0.46294,0.58129,0.80799,0.000229801,0.000229801,0.000229801
139,2231.36,0.48516,0.60987,0.82179,0.95506,0.96643,0.98822,0.84884,0.46805,0.60244,0.80791,0.000226267,0.000226267,0.000226267
140,2246.54,0.45842,0.58194,0.80607,0.95928,0.96679,0.98728,0.84905,0.47078,0.59221,0.80675,0.000222732,0.000222732,0.000222732
141,2261.74,0.48564,0.59055,0.81947,0.95928,0.96679,0.98728,0.84905,0.47078,0.59221,0.80675,0.000219198,0.000219198,0.000219198
142,2276.96,0.43076,0.5859,0.82095,0.96795,0.96774,0.98961,0.85231,0.46506,0.57213,0.80493,0.000215664,0.000215664,0.000215664
143,2292.14,0.46761,0.57892,0.83787,0.9697,0.95455,0.98867,0.87271,0.4521,0.55489,0.80313,0.000212129,0.000212129,0.000212129
144,2307.33,0.43037,0.56427,0.81235,0.95265,0.98482,0.98728,0.86719,0.4554,0.56103,0.80364,0.000208595,0.000208595,0.000208595
145,2322.48,0.4377,0.5546,0.80911,0.95265,0.98482,0.98728,0.86719,0.4554,0.56103,0.80364,0.000205061,0.000205061,0.000205061
146,2337.64,0.5143,0.61926,0.83204,0.94728,0.97035,0.98353,0.86371,0.45955,0.57055,0.80405,0.000201527,0.000201527,0.000201527
147,2352.84,0.43851,0.56499,0.81465,0.94092,0.97073,0.98169,0.85654,0.46055,0.57815,0.80507,0.000197992,0.000197992,0.000197992
148,2368.02,0.47932,0.57257,0.80967,0.94375,0.96799,0.98169,0.86517,0.4556,0.57803,0.8045,0.000194458,0.000194458,0.000194458
149,2383.16,0.42527,0.54094,0.82286,0.94375,0.96799,0.98169,0.86517,0.4556,0.57803,0.8045,0.000190924,0.000190924,0.000190924
150,2398.31,0.43532,0.58545,0.81815,0.95116,0.96639,0.98228,0.86326,0.45339,0.58054,0.80444,0.000187389,0.000187389,0.000187389
151,2413.5,0.4625,0.56633,0.82215,0.95422,0.95407,0.98389,0.8753,0.45094,0.59052,0.80486,0.000183855,0.000183855,0.000183855
152,2428.63,0.47635,0.53593,0.81713,0.95416,0.94881,0.98656,0.86953,0.45191,0.60306,0.80471,0.000180321,0.000180321,0.000180321
153,2443.81,0.45267,0.57031,0.8365,0.95416,0.94881,0.98656,0.86953,0.45191,0.60306,0.80471,0.000176786,0.000176786,0.000176786
154,2458.92,0.44572,0.54407,0.81249,0.95376,0.94836,0.98656,0.87035,0.45228,0.61019,0.80496,0.000173252,0.000173252,0.000173252
155,2473.98,0.45833,0.58919,0.81577,0.9489,0.94343,0.97397,0.86375,0.44865,0.62362,0.80483,0.000169718,0.000169718,0.000169718
156,2489.09,0.44114,0.55392,0.81071,0.94272,0.94301,0.96634,0.86038,0.44419,0.62844,0.80447,0.000166183,0.000166183,0.000166183
