epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1603.67,0.50385,0.75609,0.82149,0.88786,0.92342,0.96209,0.82145,0.51155,0.74572,0.82509,0.000591097,0.000591097,0.000591097
90,1621.86,0.5177,0.71223,0.83311,0.94048,0.92209,0.96832,0.82155,0.54532,0.74085,0.82883,0.000588348,0.000588348,0.000588348
91,1640.06,0.54783,0.76572,0.82444,0.94824,0.93488,0.96866,0.81222,0.55799,0.7012,0.83328,0.000585599,0.000585599,0.000585599
92,1658.34,0.5234,0.76114,0.83609,0.92252,0.94851,0.97272,0.81666,0.5614,0.71338,0.83542,0.00058285,0.00058285,0.00058285
93,1676.69,0.52567,0.72884,0.83169,0.92252,0.94851,0.97272,0.81666,0.5614,0.71338,0.83542,0.000580101,0.000580101,0.000580101
94,1694.94,0.52846,0.70608,0.8492,0.92482,0.9312,0.97443,0.82062,0.53537,0.71123,0.83005,0.000577352,0.000577352,0.000577352
95,1713.16,0.54347,0.74623,0.83093,0.9531,0.9245,0.98199,0.8381,0.53315,0.68533,0.82808,0.000574603,0.000574603,0.000574603
96,1731.37,0.51994,0.71012,0.8263,0.95743,0.93703,0.98148,0.83363,0.55595,0.67224,0.82807,0.000571854,0.000571854,0.000571854
97,1749.57,0.54118,0.76387,0.84104,0.95743,0.93703,0.98148,0.83363,0.55595,0.67224,0.82807,0.000569106,0.000569106,0.000569106
98,1767.79,0.47763,0.6762,0.82151,0.92442,0.98168,0.97963,0.83259,0.53288,0.66585,0.82691,0.000566357,0.000566357,0.000566357
99,1785.9,0.51256,0.70683,0.82847,0.91779,0.94351,0.96716,0.8249,0.51987,0.68749,0.82844,0.000563608,0.000563608,0.000563608
100,1804.28,0.50643,0.69026,0.8283,0.89258,0.94358,0.96101,0.80165,0.52974,0.6949,0.8302,0.000560859,0.000560859,0.000560859
101,1822.42,0.52236,0.67045,0.82318,0.89258,0.94358,0.96101,0.80165,0.52974,0.6949,0.8302,0.00055811,0.00055811,0.00055811
102,1840.62,0.5072,0.73444,0.82199,0.89952,0.96198,0.96359,0.81765,0.51364,0.69871,0.83021,0.000555361,0.000555361,0.000555361
103,1858.98,0.52565,0.70284,0.83334,0.9329,0.94701,0.98142,0.84736,0.48706,0.67071,0.82634,0.000552612,0.000552612,0.000552612
104,1877.18,0.53758,0.70351,0.84443,0.93864,0.95165,0.98351,0.85268,0.48269,0.66086,0.82659,0.000549863,0.000549863,0.000549863
105,1895.32,0.50095,0.6793,0.8476,0.93864,0.95165,0.98351,0.85268,0.48269,0.66086,0.82659,0.000547114,0.000547114,0.000547114
106,1913.56,0.47613,0.63011,0.83519,0.94415,0.93583,0.96793,0.83645,0.51232,0.67363,0.82823,0.000544365,0.000544365,0.000544365
107,1931.78,0.47892,0.62861,0.80836,0.93521,0.91326,0.96102,0.82928,0.51652,0.67871,0.82904,0.000541617,0.000541617,0.000541617
108,1950.09,0.4612,0.64165,0.8309,0.89229,0.97422,0.96698,0.83712,0.50179,0.67887,0.82787,0.000538868,0.000538868,0.000538868
109,1968.33,0.50147,0.65713,0.81959,0.89229,0.97422,0.96698,0.83712,0.50179,0.67887,0.82787,0.000536119,0.000536119,0.000536119
110,1986.6,0.50463,0.62719,0.82521,0.9538,0.96288,0.97524,0.84329,0.49403,0.63276,0.82648,0.00053337,0.00053337,0.00053337
111,2004.82,0.51125,0.63444,0.83671,0.95356,0.94056,0.97254,0.84468,0.48202,0.63377,0.82516,0.000530621,0.000530621,0.000530621
112,2023.23,0.49742,0.62846,0.83848,0.9093,0.92045,0.96016,0.83232,0.48436,0.69092,0.82349,0.000527872,0.000527872,0.000527872
113,2041.49,0.49527,0.68186,0.82754,0.9093,0.92045,0.96016,0.83232,0.48436,0.69092,0.82349,0.000525123,0.000525123,0.000525123
114,2059.78,0.49007,0.66023,0.82205,0.92298,0.952,0.97052,0.84137,0.49288,0.67028,0.82292,0.000522374,0.000522374,0.000522374
115,2078.06,0.51915,0.65743,0.81081,0.94722,0.94022,0.98003,0.84028,0.489,0.62632,0.82348,0.000519625,0.000519625,0.000519625
116,2096.47,0.47678,0.5818,0.81499,0.97222,0.95594,0.98481,0.85487,0.47893,0.59465,0.82258,0.000516877,0.000516877,0.000516877
117,2114.75,0.46143,0.59812,0.82359,0.97222,0.95594,0.98481,0.85487,0.47893,0.59465,0.82258,0.000514128,0.000514128,0.000514128
118,2133.03,0.48357,0.60115,0.82238,0.96335,0.96116,0.98526,0.84344,0.49485,0.59346,0.8226,0.000511379,0.000511379,0.000511379
119,2151.28,0.46928,0.61951,0.82206,0.95113,0.96294,0.9804,0.84517,0.49642,0.63869,0.82219,0.00050863,0.00050863,0.00050863
120,2169.58,0.50216,0.64528,0.85106,0.90571,0.94933,0.96601,0.83868,0.48295,0.73359,0.82233,0.000505881,0.000505881,0.000505881
121,2187.78,0.49731,0.61371,0.81762,0.90571,0.94933,0.96601,0.83868,0.48295,0.73359,0.82233,0.000503132,0.000503132,0.000503132
122,2206,0.44877,0.59137,0.80713,0.92403,0.89879,0.95673,0.82512,0.49368,0.79344,0.82308,0.000500383,0.000500383,0.000500383
123,2224.16,0.53193,0.6972,0.82526,0.94034,0.92785,0.95926,0.82202,0.50241,0.74591,0.82226,0.000497634,0.000497634,0.000497634
124,2242.41,0.47253,0.59736,0.83452,0.94438,0.95797,0.96963,0.84542,0.48452,0.6603,0.82015,0.000494885,0.000494885,0.000494885
125,2260.6,0.49367,0.58845,0.81777,0.94438,0.95797,0.96963,0.84542,0.48452,0.6603,0.82015,0.000492136,0.000492136,0.000492136
126,2278.83,0.4873,0.57027,0.82462,0.9475,0.96726,0.97055,0.85563,0.46635,0.62192,0.81997,0.000489387,0.000489387,0.000489387
127,2297.17,0.47284,0.5856,0.82433,0.94035,0.96051,0.97641,0.85668,0.48534,0.59969,0.82314,0.000486639,0.000486639,0.000486639
128,2315.49,0.47611,0.56778,0.83016,0.96762,0.96479,0.98764,0.84898,0.50134,0.57455,0.82495,0.00048389,0.00048389,0.00048389
129,2333.81,0.4807,0.59475,0.82387,0.96762,0.96479,0.98764,0.84898,0.50134,0.57455,0.82495,0.000481141,0.000481141,0.000481141
130,2352.08,0.46319,0.5828,0.82298,0.9707,0.96265,0.99219,0.84893,0.5229,0.55649,0.82651,0.000478392,0.000478392,0.000478392
131,2370.31,0.49025,0.56737,0.81773,0.98066,0.97352,0.99327,0.85457,0.51647,0.54405,0.82648,0.000475643,0.000475643,0.000475643
132,2388.66,0.46034,0.5573,0.81923,0.94377,0.9882,0.99313,0.86203,0.48434,0.56494,0.82482,0.000472894,0.000472894,0.000472894
133,2406.98,0.49341,0.58325,0.82473,0.94377,0.9882,0.99313,0.86203,0.48434,0.56494,0.82482,0.000470145,0.000470145,0.000470145
134,2425.21,0.44849,0.5651,0.82574,0.92815,0.9519,0.98483,0.8613,0.46817,0.65515,0.82359,0.000467396,0.000467396,0.000467396
135,2443.62,0.43409,0.54559,0.80785,0.93264,0.91807,0.98094,0.85206,0.46894,0.69413,0.82367,0.000464647,0.000464647,0.000464647
136,2461.99,0.47608,0.58251,0.82827,0.91429,0.93705,0.967,0.8384,0.47152,0.70153,0.82238,0.000461898,0.000461898,0.000461898
137,2480.45,0.42854,0.54213,0.813,0.91429,0.93705,0.967,0.8384,0.47152,0.70153,0.82238,0.00045915,0.00045915,0.00045915
138,2498.84,0.45693,0.56036,0.81958,0.93047,0.95591,0.96516,0.8377,0.47341,0.68317,0.82217,0.000456401,0.000456401,0.000456401
139,2517.18,0.45839,0.53538,0.81664,0.94438,0.91214,0.96591,0.84623,0.47888,0.68855,0.82195,0.000453652,0.000453652,0.000453652
140,2535.6,0.48719,0.57792,0.82715,0.92323,0.9004,0.96398,0.83534,0.48417,0.72127,0.82164,0.000450903,0.000450903,0.000450903
141,2553.94,0.45872,0.55338,0.82069,0.92323,0.9004,0.96398,0.83534,0.48417,0.72127,0.82164,0.000448154,0.000448154,0.000448154
142,2572.34,0.4779,0.56623,0.81916,0.89727,0.92862,0.96419,0.829,0.49813,0.72808,0.82132,0.000445405,0.000445405,0.000445405
143,2590.67,0.44935,0.56677,0.82693,0.92864,0.91082,0.96775,0.83574,0.48606,0.67889,0.82025,0.000442656,0.000442656,0.000442656
144,2609.08,0.46245,0.55882,0.84548,0.92188,0.95632,0.97484,0.85333,0.4628,0.623,0.81817,0.000439907,0.000439907,0.000439907
145,2627.48,0.46816,0.5176,0.8126,0.92188,0.95632,0.97484,0.85333,0.4628,0.623,0.81817,0.000437158,0.000437158,0.000437158
146,2645.89,0.4548,0.52889,0.81809,0.93148,0.97781,0.98169,0.85946,0.45944,0.59284,0.81769,0.000434409,0.000434409,0.000434409
147,2664.33,0.45589,0.53403,0.806,0.95563,0.96501,0.98469,0.85706,0.47269,0.56446,0.81831,0.000431661,0.000431661,0.000431661
148,2682.8,0.4126,0.49836,0.82689,0.96352,0.97708,0.98671,0.86394,0.46598,0.55711,0.81756,0.000428912,0.000428912,0.000428912
149,2701.29,0.45792,0.51648,0.80894,0.96352,0.97708,0.98671,0.86394,0.46598,0.55711,0.81756,0.000426163,0.000426163,0.000426163
150,2719.62,0.44714,0.53187,0.82976,0.96014,0.98183,0.98656,0.86288,0.46571,0.56707,0.81857,0.000423414,0.000423414,0.000423414
151,2737.91,0.43049,0.51038,0.8255,0.95548,0.96332,0.98469,0.8584,0.47419,0.59509,0.82005,0.000420665,0.000420665,0.000420665
152,2756.22,0.44178,0.55539,0.81518,0.94518,0.95641,0.97995,0.85478,0.47258,0.62425,0.82056,0.000417916,0.000417916,0.000417916
153,2774.54,0.44297,0.52698,0.82329,0.94518,0.95641,0.97995,0.85478,0.47258,0.62425,0.82056,0.000415167,0.000415167,0.000415167
154,2793,0.43344,0.5054,0.81985,0.96389,0.93876,0.98187,0.85025,0.48462,0.63327,0.82124,0.000412418,0.000412418,0.000412418
155,2811.28,0.48057,0.51677,0.82252,0.93767,0.95255,0.97705,0.84837,0.48477,0.63193,0.82125,0.000409669,0.000409669,0.000409669
156,2829.68,0.46603,0.52848,0.82754,0.92715,0.97186,0.97134,0.85616,0.46399,0.63992,0.82089,0.00040692,0.00040692,0.00040692
157,2848.12,0.45759,0.5351,0.83206,0.92715,0.97186,0.97134,0.85616,0.46399,0.63992,0.82089,0.000404172,0.000404172,0.000404172
158,2866.64,0.43839,0.5038,0.81384,0.93968,0.94448,0.96573,0.84369,0.46177,0.66165,0.82172,0.000401423,0.000401423,0.000401423
159,2885.15,0.46395,0.53238,0.84155,0.94888,0.9429,0.95483,0.84095,0.47,0.68213,0.82316,0.000398674,0.000398674,0.000398674
160,2903.66,0.48518,0.54847,0.823,0.95166,0.94054,0.95256,0.84383,0.47802,0.68466,0.82262,0.000395925,0.000395925,0.000395925
161,2922.14,0.42758,0.50143,0.80834,0.95166,0.94054,0.95256,0.84383,0.47802,0.68466,0.82262,0.000393176,0.000393176,0.000393176
162,2940.52,0.44189,0.50465,0.83524,0.95143,0.93967,0.95271,0.83386,0.48079,0.68674,0.82105,0.000390427,0.000390427,0.000390427
163,2958.94,0.45302,0.53206,0.8057,0.94679,0.95229,0.95752,0.83909,0.47087,0.66867,0.82049,0.000387678,0.000387678,0.000387678
