timestamp,tx,ty,tz,rx,ry,rz,Distance,Angle X,Angle Y,Angle Z
12:48:00:563,10.696278720099253,5.318269137371632,569.1922482875557,0.056410103611923834,-0.1069527391290667,-0.019969770939162385,569.3175826159929,3,-6,-1
12:48:00:684,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:48:00:807,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:48:00:934,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:48:01:053,10.749242535618109,5.363388241310362,570.0155654250216,-0.06515305788861703,-0.0529099557060712,-0.02336298321157556,570.1421375195168,-4,-3,-1
12:48:01:177,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:48:01:300,10.78591178219864,5.387497349763979,570.6572412897468,0.045808052037049934,-0.13864348899059312,-0.019534355910836267,570.7845898910476,3,-8,-1
12:48:01:422,10.78591178219864,5.387497349763979,570.6572412897468,0.045808052037049934,-0.13864348899059312,-0.019534355910836267,570.7845898910476,3,-8,-1
12:48:01:548,10.749242535618109,5.363388241310362,570.0155654250216,-0.06515305788861703,-0.0529099557060712,-0.02336298321157556,570.1421375195168,-4,-3,-1
12:48:01:664,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:48:01:799,10.696278720099253,5.318269137371632,569.1922482875557,0.056410103611923834,-0.1069527391290667,-0.019969770939162385,569.3175826159929,3,-6,-1
12:48:01:913,10.696278720099253,5.318269137371632,569.1922482875557,0.056410103611923834,-0.1069527391290667,-0.019969770939162385,569.3175826159929,3,-6,-1
12:48:02:036,10.696278720099253,5.318269137371632,569.1922482875557,0.056410103611923834,-0.1069527391290667,-0.019969770939162385,569.3175826159929,3,-6,-1
12:48:02:163,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:48:02:377,10.749242535618109,5.363388241310362,570.0155654250216,-0.06515305788861703,-0.0529099557060712,-0.02336298321157556,570.1421375195168,-4,-3,-1
12:48:02:497,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:48:02:632,10.800860136548987,5.371762365117673,568.1548601046078,0.09719081020792822,-0.1403664675038093,-0.016208393685082385,568.2829044332435,6,-8,-1
12:48:02:786,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:48:02:899,10.749242535618109,5.363388241310362,570.0155654250216,-0.06515305788861703,-0.0529099557060712,-0.02336298321157556,570.1421375195168,-4,-3,-1
12:48:03:022,10.729815590497651,5.400105071906769,568.6649811883125,-0.10958285307558478,-0.07978389193534045,-0.01860118209427812,568.7918344238932,-6,-5,-1
12:48:03:171,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:48:03:307,10.720888060712255,5.37919766481624,570.6761862732727,-0.0019001986614424638,-0.08856005853989748,-0.01543211229439895,570.8022273850502,0,-5,-1
12:48:03:433,10.749242535618109,5.363388241310362,570.0155654250216,-0.06515305788861703,-0.0529099557060712,-0.02336298321157556,570.1421375195168,-4,-3,-1
12:48:03:555,err,err,err,err,err,err,err,err,err,err
12:48:03:720,err,err,err,err,err,err,err,err,err,err
12:48:03:842,err,err,err,err,err,err,err,err,err,err
12:48:03:964,err,err,err,err,err,err,err,err,err,err
12:48:04:088,err,err,err,err,err,err,err,err,err,err
12:48:04:212,err,err,err,err,err,err,err,err,err,err
12:48:04:333,10.759299106499236,5.302641650395819,566.95087336555,0.09268361802212792,-0.07284938589056547,-0.020676601229272062,567.0777489336851,5,-4,-1
12:48:04:456,10.749242535618109,5.363388241310362,570.0155654250216,-0.06515305788861703,-0.0529099557060712,-0.02336298321157556,570.1421375195168,-4,-3,-1
12:48:04:579,10.78591178219864,5.387497349763979,570.6572412897468,0.045808052037049934,-0.13864348899059312,-0.019534355910836267,570.7845898910476,3,-8,-1
12:48:04:704,10.783355531572797,5.328816612950358,570.5202848095419,0.03910802253309667,-0.14104149917576958,-0.019511284319163102,570.6470646749841,2,-8,-1
12:48:04:825,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:48:04:951,10.625222764005807,5.364295771860034,567.049069554806,0.1164960606747461,-0.17388373933346335,-0.011853918550054162,567.1739753469687,7,-10,-1
12:48:05:072,10.614809744092696,5.344377595447932,566.3716132808153,0.061047011900492935,-0.18050074464650775,-0.005071850575419702,566.496284972902,4,-10,-1
12:48:05:192,10.573877207649646,5.203009218372918,565.6572371752374,-0.09636790850080984,0.2608518016367818,-0.009876119901092313,565.7799821068713,-6,15,-1
12:48:05:312,err,err,err,err,err,err,err,err,err,err
12:48:05:439,err,err,err,err,err,err,err,err,err,err
12:48:05:563,err,err,err,err,err,err,err,err,err,err
12:48:05:683,err,err,err,err,err,err,err,err,err,err
12:48:05:810,err,err,err,err,err,err,err,err,err,err
12:48:05:930,err,err,err,err,err,err,err,err,err,err
12:48:06:056,err,err,err,err,err,err,err,err,err,err
12:48:06:176,err,err,err,err,err,err,err,err,err,err
